               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.040564,            0.017746,           0.0017396,             0.91792,              0.8447,              0.8224,             0.49869,            0.039903,             0.01458,            0.001937,           0.0099446,           0.0099446,           0.0099446
                  58,            0.038593,            0.018562,            0.001537,             0.74875,             0.80689,             0.84922,             0.44095,            0.038961,             0.01441,           0.0016613,           0.0099436,           0.0099436,           0.0099436
                  59,            0.039645,            0.020066,           0.0013784,              0.9141,             0.81439,             0.87434,             0.55141,            0.039923,            0.014562,            0.001557,           0.0099426,           0.0099426,           0.0099426
                  60,            0.038826,            0.016848,           0.0016299,             0.78398,             0.82955,             0.78533,             0.42597,            0.043535,            0.014428,           0.0016714,           0.0099416,           0.0099416,           0.0099416
                  61,            0.040084,            0.017512,           0.0013307,             0.95922,             0.83267,              0.8489,             0.61128,            0.036256,            0.013887,            0.001494,           0.0099406,           0.0099406,           0.0099406
                  62,            0.033379,            0.017625,           0.0016767,             0.87412,             0.82955,             0.83574,             0.46838,            0.038444,            0.014999,           0.0014357,           0.0099396,           0.0099396,           0.0099396
                  63,            0.038237,            0.016254,           0.0011188,             0.74868,             0.82499,              0.7784,             0.51914,            0.034687,            0.013897,           0.0014147,           0.0099386,           0.0099386,           0.0099386
                  64,             0.03358,             0.01623,           0.0014681,             0.72321,             0.81439,             0.75524,             0.45776,            0.043361,             0.01481,           0.0013838,           0.0099376,           0.0099376,           0.0099376
                  65,             0.04187,            0.017545,           0.0011714,             0.92562,             0.79924,             0.84988,             0.45641,            0.039007,            0.014483,           0.0014031,           0.0099366,           0.0099366,           0.0099366
                  66,            0.034559,            0.015119,           0.0014328,             0.78364,              0.8447,             0.83552,             0.52141,            0.044967,            0.014317,           0.0014951,           0.0099357,           0.0099357,           0.0099357
                  67,             0.04148,            0.018218,           0.0015003,             0.92057,             0.83586,             0.87098,             0.51351,            0.038029,            0.014212,           0.0015637,           0.0099347,           0.0099347,           0.0099347
                  68,             0.03688,            0.016865,            0.001569,             0.91869,             0.83105,             0.84876,             0.51719,            0.041564,            0.014206,           0.0018243,           0.0099337,           0.0099337,           0.0099337
                  69,            0.040486,            0.017728,           0.0015787,             0.92335,              0.8438,             0.84479,             0.47973,            0.039931,            0.014091,           0.0018699,           0.0099327,           0.0099327,           0.0099327
                  70,            0.034638,            0.016405,           0.0015973,             0.93431,             0.84598,             0.85945,             0.52885,            0.035815,            0.013832,           0.0022771,           0.0099317,           0.0099317,           0.0099317
                  71,            0.039224,            0.016752,           0.0015787,             0.89537,             0.79924,             0.82939,             0.47055,            0.039866,            0.014058,           0.0023118,           0.0099307,           0.0099307,           0.0099307
                  72,            0.034179,            0.014881,           0.0016603,             0.83985,             0.82955,             0.79754,             0.57776,            0.034794,            0.013819,           0.0022993,           0.0099297,           0.0099297,           0.0099297
                  73,            0.032955,            0.016135,           0.0017662,             0.84989,             0.82955,             0.83587,             0.52004,            0.035077,            0.014171,           0.0023977,           0.0099287,           0.0099287,           0.0099287
